"time","cumulative_infected"
0,1
1,1.59598781513698
2,2.42089753095147
3,3.53655087982904
4,5.01257203516129
5,6.92488794730215
6,9.35357027779373
7,12.3801018893628
8,16.0841849353232
9,20.5402964658733
10,25.8141874631557
11,31.9595587583942
12,39.015138279522
13,47.0023352050719
14,55.9236265597609
15,65.7617666864129
16,76.4798457061409
17,88.0221783166215
18,100.315940793276
19,113.273438065599
20,126.794854013667
21,140.771319311464
22,155.088131211442
23,169.627966590459
24,184.273947827501
25,198.912445261092
26,213.435527778986
27,227.743002248417
28,241.744010549248
29,255.358178355083
30,268.51633133104
31,281.160811434691
32,293.245438331137
33,304.735168737929
34,315.605510246145
35,325.841746438476
36,335.438027647681
37,344.396377187394
38,352.725657020123
39,360.440530205448
40,367.560450597665
41,374.108703533257
42,380.111514956691
43,385.597240775002
44,390.595643321686
45,395.137257695273
46,399.252847412242
47,402.972946234299
48,406.327481127803
49,409.345470005141
50,412.054787094415
51,414.481988472033
52,416.652189838507
53,418.588989607495
54,420.314430010608
55,421.848989766592
56,423.211602278422
57,424.419694142427
58,425.489239309116
59,426.434824816495
60,427.269724630628
61,428.00597868507
62,428.654474705808
63,429.225030858077
64,429.726477648947
65,430.166737864638
66,430.552903618894
67,430.891309840588
68,431.187603739446
69,431.44680996261
70,431.673391295849
71,431.871304875884
72,432.044053968422
73,432.194735433662
74,432.326083050722
75,432.440506907476
76,432.540129085381
77,432.626815882284
78,432.7022068219
79,432.767740698355
80,432.824678899234
81,432.874126242262
82,432.917049549946
83,432.954294174059
84,432.986598668408
85,433.014607794377
86,433.038884029647
87,433.059917736657
88,433.078136133901
89,433.093911200267
90,433.107566630472
91,433.119383948095
92,433.129607872881
93,433.13845102692
94,433.146098057404
95,433.152709246692
96,433.158423668852
97,433.163361947456
98,433.167628663536
99,433.171314456466
100,433.17449785559
101,433.17724687605
102,433.179620408308
103,433.181669427304
104,433.183438044074
105,433.184964419874
106,433.186281560381
107,433.187418005379
108,433.188398427411
109,433.189244151195
110,433.189973604108
111,433.190602706727
112,433.1911452113
113,433.191612994967
114,433.192016313711
115,433.192364022225
116,433.192663764214
117,433.192922137063
118,433.193144834286
119,433.193336768718
120,433.193502179036
121,433.193644721843
122,433.193767551243
123,433.19387338761
124,433.193964576992
125,433.194043142425
126,433.194110828249
127,433.194169138368
128,433.194219369283
129,433.194262638611
130,433.194299909693
131,433.194332012829
132,433.194359663606
133,433.194383478707
134,433.194403989528
135,433.194421653981
136,433.194436866631
137,433.194449967422
138,433.194461249227
139,433.194470964359
140,433.194479330177
141,433.194486533918
142,433.19449273687
143,433.194498077957
144,433.19450267684
145,433.194506636583
146,433.19451004595
147,433.194512981391
148,433.194515508743
149,433.194517684706
150,433.194519558109
151,433.194521171
152,433.194522559588
153,433.194523755049
154,433.194524784232
155,433.194525670254
156,433.194526433021
157,433.194527089672
158,433.194527654965
159,433.194528141605
160,433.194528560533
